step,Wifi_1,Wifi_2,Wifi_3,Wifi_4
1,-59,-54,-45,-35
2,-55,-59,-50,-32
3,-54,-62,-45,-35
4,-50,-56,-48,-47
5,-53,-56,-49,-42
6,-50,-59,-44,-39
7,-51,-56,-45,-37
8,-50,-56,-40,-40
9,-53,-58,-41,-32
10,-51,-53,-43,-40
11,-52,-55,-47,-37
12,-56,-52,-44,-40
13,-58,-53,-38,-38
13,-49,-50,-39,-44
14,-51,-53,-43,-41
15,-47,-50,-41,-48
16,-49,-47,-40,-48
17,-54,-50,-43,-43
18,-48,-50,-41,-41
19,-47,-46,-40,-44
20,-47,-52,-38,-55
21,-45,-51,-40,-46
22,-45,-55,-36,-48
23,-54,-54,-39,-45
24,-50,-50,-36,-55
25,-53,-48,-36,-49
26,-59,-50,-37,-47
27,-54,-54,-41,-43
28,-56,-49,-41,-45
29,-56,-50,-46,-47
30,-55,-51,-43,-45
31,-54,-52,-38,-40
32,-55,-55,-45,-50
33,-50,-53,-49,-43
34,-53,-50,-44,-43
35,-53,-50,-44,-50
36,-53,-52,-47,-42
37,-52,-52,-47,-47
38,-51,-52,-51,-50
39,-50,-53,-50,-48
40,-52,-50,-52,-50
41,-46,-52,-49,-51
42,-46,-53,-48,-49
43,-46,-49,-47,-54
44,-42,-52,-46,-50
45,-44,-47,-49,-50
46,-48,-42,-53,-51
47,-43,-42,-48,-52
48,-46,-44,-49,-45
49,-48,-46,-52,-51
50,-45,-51,-51,-52
51,-45,-48,-50,-53
52,-45,-39,-52,-52
52,-42,-50,-51,-49
51,-41,-48,-52,-58
53,-38,-52,-49,-50
54,-37,-56,-49,-50
55,-42,-52,-46,-49
56,-35,-53,-43,-49
57,-47,-50,-47,-49
58,-44,-47,-46,-53
59,-45,-44,-43,-51
60,-50,-42,-50,-51
61,-46,-45,-52,-51
62,-48,-46,-55,-48
62,-47,-46,-44,-50
63,-45,-47,-50,-53
64,-46,-43,-53,-42
65,-42,-39,-52,-41
66,-49,-43,-50,-49
67,-52,-40,-50,-47
68,-46,-40,-48,-50
69,-53,-39,-51,-49
70,-53,-39,-49,-53
71,-50,-43,-50,-43
72,-58,-37,-46,-41
73,-49,-40,-55,-47
74,-50,-39,-50,-45
75,-48,-40,-51,-50
76,-53,-37,-51,-49
77,-47,-36,-52,-53
78,-50,-34,-58,-45
79,-56,-35,-50,-53
80,-53,-37,-54,-55
81,-51,-51,-51,-36
82,-52,-50,-49,-40
83,-55,-50,-48,-32
84,-53,-47,-44,-37
85,-51,-54,-46,-35
86,-52,-43,-55,-38
87,-46,-46,-51,-44
88,-48,-44,-47,-42
89,-49,-45,-45,-46
90,-52,-46,-47,-48
91,-47,-50,-47,-50
92,-51,-46,-48,-50
93,-46,-49,-45,-55
94,-45,-49,-46,-48
95,-45,-50,-48,-47
96,-49,-48,-47,-49
97,-47,-51,-47,-43
98,-48,-52,-45,-50
99,-49,-55,-48,-44
100,-44,-47,-44,-51
101,-48,-48,-43,-46
102,-42,-50,-44,-52
103,-48,-49,-48,-45
104,-47,-53,-43,-51
105,-49,-49,-43,-49
106,-49,-50,-46,-46
107,-53,-51,-48,-49
108,-50,-52,-51,-42
